index,id,name,date,latitude,longitude,maximum_sustained_wind_knots,maximum_pressure
43716,AL012005,ARLENE,2005-06-08 18:00:00,16.9,-84,25,1004
43717,AL012005,ARLENE,2005-06-09 00:00:00,17.4,-83.9,30,1003
43718,AL012005,ARLENE,2005-06-09 06:00:00,18.2,-83.9,35,1003
43719,AL012005,ARLENE,2005-06-09 12:00:00,19,-84,35,1002
43720,AL012005,ARLENE,2005-06-09 18:00:00,19.7,-84.1,35,1002
43721,AL012005,ARLENE,2005-06-10 00:00:00,20.4,-84.2,40,1001
43722,AL012005,ARLENE,2005-06-10 06:00:00,21.2,-84.4,45,1000
43723,AL012005,ARLENE,2005-06-10 08:00:00,21.8,-84.5,45,1000
43724,AL012005,ARLENE,2005-06-10 12:00:00,23,-84.7,50,1000
43725,AL012005,ARLENE,2005-06-10 18:00:00,24.9,-85.1,55,995
43726,AL012005,ARLENE,2005-06-11 00:00:00,26.5,-85.6,60,990
43727,AL012005,ARLENE,2005-06-11 01:00:00,26.5,-85.6,60,989
43728,AL012005,ARLENE,2005-06-11 06:00:00,27.7,-86.8,60,993
43729,AL012005,ARLENE,2005-06-11 12:00:00,28.9,-87.2,55,990
43730,AL012005,ARLENE,2005-06-11 18:00:00,30.1,-87.5,50,991
43731,AL012005,ARLENE,2005-06-11 19:00:00,30.3,-87.5,50,991
43732,AL012005,ARLENE,2005-06-12 00:00:00,31.4,-87.6,30,994
43733,AL012005,ARLENE,2005-06-12 06:00:00,32.7,-87.7,25,998
43734,AL012005,ARLENE,2005-06-12 12:00:00,35,-88,20,1003
43735,AL012005,ARLENE,2005-06-12 18:00:00,37,-87.8,20,1005
43736,AL012005,ARLENE,2005-06-13 00:00:00,38.5,-87.5,20,1006
43737,AL012005,ARLENE,2005-06-13 06:00:00,40.5,-86,20,1006
43738,AL012005,ARLENE,2005-06-13 12:00:00,42,-85,20,1005
43739,AL012005,ARLENE,2005-06-13 18:00:00,43,-84,20,1005
43740,AL012005,ARLENE,2005-06-14 00:00:00,43.7,-81.1,20,1003
43741,AL012005,ARLENE,2005-06-14 06:00:00,44.8,-77.6,20,1001
43742,AL022005,BRET,2005-06-28 18:00:00,19.7,-95.4,30,1006
43743,AL022005,BRET,2005-06-28 22:35:00,19.9,-95.7,35,1002
43744,AL022005,BRET,2005-06-29 00:00:00,20,-95.8,35,1005
43745,AL022005,BRET,2005-06-29 06:00:00,20.4,-96.4,35,1005
43746,AL022005,BRET,2005-06-29 12:00:00,20.8,-97.3,35,1005
43747,AL022005,BRET,2005-06-29 18:00:00,21.4,-98.1,25,1007
43748,AL022005,BRET,2005-06-30 00:00:00,22,-98.5,25,1008
43749,AL032005,CINDY,2005-07-03 18:00:00,18.3,-86.7,30,1009
43750,AL032005,CINDY,2005-07-04 00:00:00,18.6,-87.2,30,1007
43751,AL032005,CINDY,2005-07-04 03:30:00,19,-87.6,30,1007
43752,AL032005,CINDY,2005-07-04 06:00:00,19.3,-87.9,30,1007
43753,AL032005,CINDY,2005-07-04 12:00:00,20.9,-88.5,25,1011
43754,AL032005,CINDY,2005-07-04 18:00:00,22.3,-89,30,1010
43755,AL032005,CINDY,2005-07-05 00:00:00,23.9,-89.7,30,1009
43756,AL032005,CINDY,2005-07-05 06:00:00,25.1,-90.2,35,1009
43757,AL032005,CINDY,2005-07-05 12:00:00,26.4,-90.4,45,1002
43758,AL032005,CINDY,2005-07-05 18:00:00,27.6,-90.5,60,997
43759,AL032005,CINDY,2005-07-06 00:00:00,28.5,-90.3,65,992
43760,AL032005,CINDY,2005-07-06 03:00:00,29.2,-90.1,65,991
43761,AL032005,CINDY,2005-07-06 06:00:00,29.6,-90,50,994
43762,AL032005,CINDY,2005-07-06 09:00:00,30.2,-89.5,45,995
43763,AL032005,CINDY,2005-07-06 12:00:00,30.8,-88.9,40,998
43764,AL032005,CINDY,2005-07-06 18:00:00,31.6,-88.1,30,1000
43765,AL032005,CINDY,2005-07-07 00:00:00,32.4,-87.2,25,1004
43766,AL032005,CINDY,2005-07-07 06:00:00,33.2,-86.2,20,1008
43767,AL032005,CINDY,2005-07-07 12:00:00,34.6,-84.1,20,1009
43768,AL032005,CINDY,2005-07-07 18:00:00,35.6,-81.8,20,1010
43769,AL032005,CINDY,2005-07-08 00:00:00,37.1,-80,20,1010
43770,AL032005,CINDY,2005-07-08 06:00:00,37.8,-78.3,20,1010
43771,AL032005,CINDY,2005-07-08 12:00:00,38.4,-76.7,25,1009
43772,AL032005,CINDY,2005-07-08 18:00:00,39.1,-74.8,25,1009
43773,AL032005,CINDY,2005-07-09 00:00:00,39.5,-72,25,1009
43774,AL032005,CINDY,2005-07-09 06:00:00,40.8,-70.7,25,1009
43775,AL032005,CINDY,2005-07-09 12:00:00,41.6,-69.8,30,1007
43776,AL032005,CINDY,2005-07-09 18:00:00,43.5,-69.6,30,1006
43777,AL032005,CINDY,2005-07-10 00:00:00,44.9,-69.8,30,1006
43778,AL032005,CINDY,2005-07-10 06:00:00,45.5,-70,30,1006
43779,AL032005,CINDY,2005-07-10 12:00:00,46.5,-67.6,25,1006
43780,AL032005,CINDY,2005-07-10 18:00:00,48,-66.4,20,1006
43781,AL032005,CINDY,2005-07-11 00:00:00,48.5,-64.5,20,1006
43782,AL032005,CINDY,2005-07-11 06:00:00,48.5,-62.5,20,1006
43783,AL042005,DENNIS,2005-07-04 18:00:00,12,-60.8,25,1010
43784,AL042005,DENNIS,2005-07-04 21:00:00,12.1,-61.6,30,1010
43785,AL042005,DENNIS,2005-07-05 00:00:00,12.2,-62.5,30,1009
43786,AL042005,DENNIS,2005-07-05 06:00:00,12.5,-64.2,30,1008
43787,AL042005,DENNIS,2005-07-05 12:00:00,13,-65.9,35,1007
43788,AL042005,DENNIS,2005-07-05 18:00:00,13.6,-67.3,40,1005
43789,AL042005,DENNIS,2005-07-06 00:00:00,14.3,-68.5,45,1000
43790,AL042005,DENNIS,2005-07-06 06:00:00,14.7,-69.7,50,995
43791,AL042005,DENNIS,2005-07-06 12:00:00,15.1,-70.9,55,991
43792,AL042005,DENNIS,2005-07-06 18:00:00,15.6,-71.9,60,989
43793,AL042005,DENNIS,2005-07-07 00:00:00,16.2,-73,70,982
43794,AL042005,DENNIS,2005-07-07 06:00:00,16.7,-74.1,80,972
43795,AL042005,DENNIS,2005-07-07 12:00:00,17.6,-74.9,90,967
43796,AL042005,DENNIS,2005-07-07 18:00:00,18.5,-76.1,100,957
43797,AL042005,DENNIS,2005-07-08 00:00:00,19.4,-77.1,120,951
43798,AL042005,DENNIS,2005-07-08 02:45:00,19.9,-77.6,120,956
43799,AL042005,DENNIS,2005-07-08 06:00:00,20.3,-78.4,110,953
43800,AL042005,DENNIS,2005-07-08 12:00:00,20.9,-79.5,130,938
43801,AL042005,DENNIS,2005-07-08 18:00:00,22,-80.6,120,941
43802,AL042005,DENNIS,2005-07-08 18:45:00,22.1,-80.7,120,941
43803,AL042005,DENNIS,2005-07-09 00:00:00,22.7,-81.6,100,960
43804,AL042005,DENNIS,2005-07-09 06:00:00,23.4,-82.5,75,973
43805,AL042005,DENNIS,2005-07-09 12:00:00,24.3,-83.4,80,967
43806,AL042005,DENNIS,2005-07-09 18:00:00,25.2,-84.2,90,962
43807,AL042005,DENNIS,2005-07-10 00:00:00,26.1,-85,110,942
43808,AL042005,DENNIS,2005-07-10 06:00:00,27.2,-85.8,125,935
43809,AL042005,DENNIS,2005-07-10 12:00:00,28.5,-86.3,120,930
43810,AL042005,DENNIS,2005-07-10 18:00:00,29.9,-86.9,110,942
43811,AL042005,DENNIS,2005-07-10 19:30:00,30.4,-87.1,105,946
43812,AL042005,DENNIS,2005-07-11 00:00:00,31.5,-87.7,45,970
43813,AL042005,DENNIS,2005-07-11 06:00:00,32.6,-88.5,30,991
43814,AL042005,DENNIS,2005-07-11 12:00:00,33.9,-88.8,25,997
43815,AL042005,DENNIS,2005-07-11 18:00:00,35.3,-89.1,20,1002
43816,AL042005,DENNIS,2005-07-12 00:00:00,36.4,-89.2,20,1003
43817,AL042005,DENNIS,2005-07-12 06:00:00,37.1,-89,15,1005
43818,AL042005,DENNIS,2005-07-12 12:00:00,37.7,-88.7,15,1007
43819,AL042005,DENNIS,2005-07-12 18:00:00,38.1,-88.3,15,1008
