Year,Drought Cost,Flooding Cost,Freeze Cost,Severe Storm Cost,Tropical Cyclone Cost,Wildfire Cost,Winter Storm Cost,Combined Cost
1980,33.3,2,2.3,0,0,0,0,37.6
1981,1.2,1.7,0,0,0,0,0,2.9
1982,2.6,1.8,0,0,0,0,0,4.4
1983,5.3,7.8,7.9,8.3,0,0,0,29.3
1984,2.6,,,,0,0,0,2.6
1985,3.3,9,2.9,2.1,0,0,0,17.3
1986,4.3,1.3,0,0,0,0,0,5.6
1988,44.8,0,0,0,0,0,0,44.8
1989,1.5,4.3,6.4,19.3,1.2,0,0,32.7
1990,6.9,1.7,2,0,0,0,0,10.6
1991,6.3,5.8,2.9,1.2,0,0,0,16.2
1992,4.6,5.9,56.3,0,0,0,0,66.8
1993,2.5,2.3,37.9,1.2,10,0,0,53.9
1994,1.3,1.8,1.8,1.7,7.1,0,0,13.7
1995,13.2,1.7,9.4,4.3,0,0,0,28.6
1996,8.4,3,1.7,5,0,0,0,18.1
1997,10.9,1.6,0,0,0,0,0,12.5
1998,4,1.5,12.3,5.6,6,2.2,0,31.6
1999,10.2,3.9,3.2,3,0,0,0,20.3
2000,7.6,1.4,1.6,1.1,0,0,0,11.7
2001,12.6,4.6,0,0,0,0,0,17.2
2002,1.9,13.1,4.1,3.2,0,0,0,22.3
2003,5.5,7.1,7.8,11.3,0,0,0,31.7
2004,75.3,1.4,0,0,0,0,0,76.7
2005,224.4,2,1.2,0,0,0,0,227.6
2006,1.9,8.1,7.8,2,0,0,0,19.8
2007,4.5,3.5,3.2,4.4,0,0,0,15.6
2008,8.6,1.5,45.9,12.2,11.1,0,0,79.3
2009,4.3,1.2,9.7,0,0,0,0,15.2
2010,10.7,4.9,0,0,0,0,0,15.6
2011,2.1,18.7,14,36.4,5.8,2.1,0,79.1
2012,34.2,2,77.3,18.7,0,0,0,132.2
2013,11.7,11,2.9,0,0,0,0,25.6
2014,4.4,11.3,1.1,2.4,0,0,0,19.2
2015,5,8,3.4,5,3.3,0,0,24.7
2016,2.6,3.8,10.9,17.4,15.8,0,0,50.5
2017,18.9,2.6,278.3,17.5,3.4,1.1,0,321.8
2018,24.7,3.1,50,12,3.4,0,0,93.2
2019,4.5,13.9,6.7,20.3,0,0,0,45.4
2020,0,0,0,17.6,0,0,0,17.6
