Year,Drought,Flooding,Freeze,Severe_Storm,Tropical_Cyclone,Wildfire,Winter_Storm
1980,1,1,1,0,0,0,0
1981,1,1,0,0,0,0,0
1982,2,1,0,0,0,0,0
1983,1,1,1,2,0,0,0
1984,2,0,0,0,0,0,0
1985,1,3,1,1,0,0,0
1986,1,1,0,0,0,0,0
1988,1,0,0,0,0,0,0
1989,1,1,1,1,1,0,0
1990,1,1,1,0,0,0,0
1991,1,1,1,1,0,0,0
1992,1,4,2,0,0,0,0
1993,1,1,1,1,1,0,0
1994,1,1,1,1,2,0,0
1995,3,1,1,1,0,0,0
1996,1,1,1,1,0,0,0
1997,2,1,0,0,0,0,0
1998,1,1,3,1,3,1,0
1999,1,1,1,2,0,0,0
2000,1,1,1,1,0,0,0
2001,1,1,0,0,0,0,0
2002,1,1,2,2,0,0,0
2003,1,1,1,4,0,0,0
2004,4,1,0,0,0,0,0
2005,4,1,1,0,0,0,0
2006,1,4,1,1,0,0,0
2007,1,1,1,2,0,0,0
2008,1,1,3,1,6,0,0
2009,1,1,6,0,0,0,0
2010,4,2,0,0,0,0,0
2011,1,2,1,9,2,1,0
2012,1,1,2,7,0,0,0
2013,1,6,2,0,0,0,0
2014,1,5,1,1,0,0,0
2015,1,5,1,2,1,0,0
2016,1,1,1,4,8,0,0
2017,1,1,3,8,2,1,0
2018,1,1,2,8,2,0,0
2019,1,8,2,3,0,0,0
2020,0,0,0,10,0,0,0
